"peak_freq","density","permutation_q025","permutation_q25","permutation_q50","permutation_q75","permutation_q975"
"0-0.025",0.271557271557272,0.0334620334620335,0.0437580437580438,0.0489060489060489,0.0540540540540541,0.0643500643500644
"0.025-0.05",0.335907335907336,0.114543114543115,0.131274131274131,0.14028314028314,0.149292149292149,0.167310167310167
"0.05-0.075",0.12998712998713,0.144144144144144,0.15958815958816,0.168597168597169,0.177606177606178,0.195624195624196
"0.075-0.1",0.0746460746460746,0.138996138996139,0.155727155727156,0.164736164736165,0.173745173745174,0.19047619047619
"0.1-0.125",0.124839124839125,0.211068211068211,0.23037323037323,0.239382239382239,0.24967824967825,0.270302445302445
"0.125-0.15",0.036036036036036,0.105534105534106,0.11969111969112,0.127413127413127,0.133848133848134,0.151866151866152
"0.15-0.175",0.0193050193050193,0.0579150579150579,0.0707850707850708,0.0759330759330759,0.0826898326898327,0.0952380952380952
"0.175-0.2",0.00772200772200772,0.018018018018018,0.0257400257400257,0.0296010296010296,0.0347490347490347,0.0424710424710425
"0.2-0.225",0,0,0.00128700128700129,0.00257400257400257,0.00386100386100386,0.00772200772200772
"0.225-0.25",0,0,0,0,0,0.00128700128700129
"0.25-0.275",0,0,0,0,0,0
"0.275-0.3",0,0,0,0,0,0
"0.3-0.325",0,0,0,0,0,0
"0.325-0.35",0,0,0,0,0,0
"0.35-0.375",0,0,0,0,0,0
"0.375-0.4",0,0,0,0,0,0
"0.4-0.425",0,0,0,0,0,0
"0.425-0.45",0,0,0,0,0,0
"0.45-0.475",0,0,0,0,0,0
"0.475-0.5",0,0,0,0,0,0
